Account-Balance,Duration-of-Credit-Month,Payment-Status-of-Previous-Credit,Purpose,Credit-Amount,Value-Savings-Stocks,Length-of-current-employment,Instalment-per-cent,Guarantors,Duration-in-Current-address,Most-valuable-available-asset,Age-years,Concurrent-Credits,Type-of-apartment,No-of-Credits-at-this-Bank,Occupation,No-of-dependents,Telephone,Foreign-Worker,Credit-Application-Result
Some Balance,4,Paid Up,Other,1494,POUND_100-POUND_1000,< 1yr,1,None,2,1,,Other Banks/Depts,2,1,1,2,1,2,Creditworthy
Some Balance,4,Paid Up,Home Related,1494,POUND_100-POUND_1000,< 1yr,1,None,2,1,29,Other Banks/Depts,2,1,1,2,1,2,Creditworthy
Some Balance,4,No Problems (in this bank),Home Related,1544,None,1-4 yrs,2,None,1,1,42,Other Banks/Depts,2,More than 1,1,2,1,1,Creditworthy
Some Balance,4,No Problems (in this bank),Home Related,3380,None,1-4 yrs,1,None,1,1,37,Other Banks/Depts,2,1,1,2,1,1,Creditworthy
No Account,6,Paid Up,Home Related,343,None,< 1yr,4,None,1,1,27,Other Banks/Depts,2,1,1,1,1,1,Creditworthy
Some Balance,6,No Problems (in this bank),Home Related,362,< POUND_100,< 1yr,4,None,,3,52,Other Banks/Depts,2,More than 1,1,1,1,1,Creditworthy
No Account,6,Some Problems,Home Related,433,POUND_100-POUND_1000,< 1yr,4,None,,2,24,Other Banks/Depts,1,1,1,2,1,1,Non-Creditworthy
No Account,6,Paid Up,Home Related,454,None,< 1yr,3,None,,2,22,Other Banks/Depts,2,1,1,1,1,1,Creditworthy
No Account,6,Paid Up,Home Related,484,None,1-4 yrs,3,Yes,3,1,28,Other Banks/Depts,2,1,1,1,1,1,Creditworthy
Some Balance,6,Paid Up,Home Related,660,POUND_100-POUND_1000,1-4 yrs,2,None,4,1,23,Other Banks/Depts,1,1,1,1,1,1,Creditworthy
No Account,6,No Problems (in this bank),Home Related,666,POUND_100-POUND_1000,1-4 yrs,3,None,4,1,39,Other Banks/Depts,2,More than 1,1,1,2,1,Creditworthy
Some Balance,6,No Problems (in this bank),Home Related,700,POUND_100-POUND_1000,4-7 yrs,4,None,,4,36,Other Banks/Depts,3,More than 1,1,1,1,1,Creditworthy
Some Balance,6,Paid Up,Home Related,709,POUND_100-POUND_1000,< 1yr,2,None,2,1,27,Other Banks/Depts,2,1,1,1,1,2,Creditworthy
No Account,6,No Problems (in this bank),Home Related,932,POUND_100-POUND_1000,1-4 yrs,1,None,,2,39,Other Banks/Depts,2,More than 1,1,1,1,1,Creditworthy
Some Balance,6,No Problems (in this bank),Home Related,1047,None,< 1yr,2,None,,2,50,Other Banks/Depts,2,1,1,1,1,1,Creditworthy
No Account,6,Paid Up,Home Related,1068,None,4-7 yrs,4,None,,3,28,Other Banks/Depts,2,1,1,2,1,1,Creditworthy
No Account,6,Paid Up,Home Related,1203,< POUND_100,4-7 yrs,3,None,,2,43,Other Banks/Depts,2,1,1,1,2,1,Creditworthy
Some Balance,6,No Problems (in this bank),Used car,1221,POUND_100-POUND_1000,< 1yr,1,None,,2,27,Other Banks/Depts,2,More than 1,1,1,1,1,Creditworthy
Some Balance,6,Paid Up,New car,1236,POUND_100-POUND_1000,< 1yr,2,None,,2,50,Other Banks/Depts,1,1,1,1,1,1,Creditworthy
Some Balance,6,Paid Up,Home Related,1338,POUND_100-POUND_1000,< 1yr,1,None,4,1,62,Other Banks/Depts,2,1,1,1,1,1,Creditworthy
Some Balance,6,Paid Up,Home Related,1346,< POUND_100,4-7 yrs,2,None,,4,42,Other Banks/Depts,3,1,1,2,2,1,Creditworthy
No Account,6,No Problems (in this bank),Home Related,1361,None,< 1yr,2,None,4,1,40,Other Banks/Depts,2,1,1,2,1,2,Creditworthy
No Account,6,Paid Up,Used car,1374,None,< 1yr,1,None,2,1,36,Other Banks/Depts,2,1,1,1,2,1,Creditworthy
No Account,6,Paid Up,Home Related,1374,POUND_100-POUND_1000,< 1yr,4,None,,2,75,Other Banks/Depts,2,1,1,1,2,1,Creditworthy
No Account,6,No Problems (in this bank),Home Related,1449,< POUND_100,4-7 yrs,1,None,,3,31,Other Banks/Depts,2,More than 1,1,2,1,1,Creditworthy
Some Balance,6,Paid Up,Home Related,1538,None,< 1yr,1,None,,4,56,Other Banks/Depts,2,1,1,1,1,1,Creditworthy
Some Balance,6,Paid Up,Used car,1543,POUND_100-POUND_1000,< 1yr,4,None,2,1,33,Other Banks/Depts,2,1,1,1,1,1,Creditworthy
Some Balance,6,No Problems (in this bank),Home Related,1898,POUND_100-POUND_1000,< 1yr,1,None,2,1,34,Other Banks/Depts,2,More than 1,1,2,1,1,Creditworthy
No Account,6,Paid Up,Home Related,2063,None,< 1yr,4,None,,3,30,Other Banks/Depts,1,1,1,1,2,1,Creditworthy
Some Balance,6,Paid Up,Home Related,2108,None,1-4 yrs,2,None,2,1,29,Other Banks/Depts,1,1,1,1,1,1,Creditworthy
Some Balance,6,Paid Up,Used car,2116,None,< 1yr,2,None,2,1,41,Other Banks/Depts,2,1,1,1,2,1,Creditworthy
Some Balance,6,Paid Up,Used car,2978,POUND_100-POUND_1000,< 1yr,1,None,,3,32,Other Banks/Depts,2,1,1,1,2,1,Creditworthy
No Account,6,No Problems (in this bank),Home Related,3676,None,< 1yr,1,None,3,1,37,Other Banks/Depts,1,More than 1,1,2,1,1,Creditworthy
Some Balance,6,Paid Up,Used car,4611,None,< 1yr,1,None,,2,32,Other Banks/Depts,2,1,1,1,1,1,Non-Creditworthy
No Account,6,No Problems (in this bank),Home Related,4716,POUND_100-POUND_1000,< 1yr,1,None,3,1,44,Other Banks/Depts,2,More than 1,1,2,1,1,Creditworthy
Some Balance,6,No Problems (in this bank),Home Related,6761,None,1-4 yrs,1,None,,4,45,Other Banks/Depts,2,More than 1,1,2,2,1,Creditworthy
No Account,6,Paid Up,Home Related,14555,POUND_100-POUND_1000,< 1yr,1,None,,2,23,Other Banks/Depts,2,1,1,1,2,1,Non-Creditworthy
No Account,6,Paid Up,Home Related,14896,None,4-7 yrs,1,None,,4,68,Other Banks/Depts,2,1,1,1,2,1,Non-Creditworthy
Some Balance,7,No Problems (in this bank),Home Related,730,POUND_100-POUND_1000,4-7 yrs,4,None,,2,46,Other Banks/Depts,1,More than 1,1,1,2,1,Creditworthy
Some Balance,7,No Problems (in this bank),Home Related,846,POUND_100-POUND_1000,4-7 yrs,3,None,,4,36,Other Banks/Depts,3,1,1,1,1,1,Creditworthy
No Account,7,Paid Up,Home Related,2576,None,< 1yr,2,Yes,2,1,35,Other Banks/Depts,2,1,1,1,1,2,Creditworthy
No Account,8,Paid Up,Home Related,760,None,1-4 yrs,4,Yes,2,1,44,Other Banks/Depts,2,1,1,1,1,1,Creditworthy
No Account,8,Paid Up,Home Related,907,None,< 1yr,3,None,2,1,26,Other Banks/Depts,2,1,1,1,2,1,Creditworthy
No Account,8,No Problems (in this bank),Home Related,1164,None,4-7 yrs,3,None,,4,51,Other Banks/Depts,3,More than 1,1,2,2,1,Creditworthy
No Account,8,Paid Up,Home Related,1414,None,< 1yr,4,Yes,2,1,33,Other Banks/Depts,2,1,1,1,1,2,Creditworthy
No Account,8,No Problems (in this bank),Home Related,3398,None,1-4 yrs,1,None,4,1,39,Other Banks/Depts,2,More than 1,1,1,1,2,Creditworthy
No Account,9,Paid Up,Home Related,276,None,< 1yr,4,None,4,1,22,Other Banks/Depts,1,1,1,1,1,1,Creditworthy
Some Balance,9,Paid Up,Home Related,745,None,< 1yr,3,None,2,1,28,Other Banks/Depts,2,1,1,1,1,1,Non-Creditworthy
Some Balance,9,No Problems (in this bank),Home Related,936,POUND_100-POUND_1000,4-7 yrs,4,None,,3,52,Other Banks/Depts,2,More than 1,1,1,2,1,Creditworthy
No Account,9,Paid Up,Used car,959,None,< 1yr,1,None,,3,29,Other Banks/Depts,2,1,1,1,1,1,Non-Creditworthy
No Account,9,No Problems (in this bank),Home Related,1138,None,< 1yr,4,None,4,1,25,Other Banks/Depts,2,More than 1,1,1,1,1,Creditworthy
No Account,9,No Problems (in this bank),Home Related,1154,None,4-7 yrs,2,None,4,1,37,Other Banks/Depts,2,More than 1,1,1,1,1,Creditworthy
No Account,9,Paid Up,Other,1199,None,1-4 yrs,4,None,4,2,,Other Banks/Depts,2,More than 1,1,1,2,1,Creditworthy
No Account,9,Paid Up,Home Related,1199,None,1-4 yrs,4,None,,2,67,Other Banks/Depts,2,More than 1,1,1,2,1,Creditworthy
Some Balance,9,No Problems (in this bank),Home Related,1224,None,< 1yr,3,None,1,1,30,Other Banks/Depts,2,More than 1,1,1,1,1,Creditworthy
Some Balance,9,No Problems (in this bank),Home Related,1244,POUND_100-POUND_1000,4-7 yrs,4,None,,2,41,Other Banks/Depts,1,More than 1,1,1,1,1,Creditworthy
Some Balance,9,Some Problems,Home Related,1337,None,< 1yr,4,None,,3,34,Other Banks/Depts,2,More than 1,1,1,2,1,Non-Creditworthy
No Account,9,Paid Up,Home Related,1364,None,1-4 yrs,3,None,4,1,59,Other Banks/Depts,2,1,1,1,1,1,Creditworthy
Some Balance,9,Paid Up,Used car,1388,None,< 1yr,4,None,2,1,26,Other Banks/Depts,1,1,1,1,1,1,Creditworthy
No Account,9,Paid Up,Home Related,1391,None,< 1yr,2,None,1,1,27,Other Banks/Depts,2,1,1,1,2,1,Creditworthy
No Account,9,Some Problems,Home Related,1437,< POUND_100,1-4 yrs,2,None,,4,29,Other Banks/Depts,2,1,1,1,1,1,Non-Creditworthy
Some Balance,9,Paid Up,Home Related,1449,None,1-4 yrs,3,None,,3,27,Other Banks/Depts,2,More than 1,1,1,1,1,Creditworthy
No Account,9,No Problems (in this bank),Home Related,1501,None,4-7 yrs,2,None,,3,34,Other Banks/Depts,2,More than 1,1,1,2,1,Non-Creditworthy
No Account,9,Paid Up,Other,1549,POUND_100-POUND_1000,< 1yr,4,None,2,1,,Other Banks/Depts,2,1,1,1,1,1,Creditworthy
No Account,9,Paid Up,Home Related,1549,POUND_100-POUND_1000,< 1yr,4,None,2,1,35,Other Banks/Depts,2,1,1,1,1,1,Creditworthy
No Account,9,Paid Up,Home Related,1670,None,< 1yr,4,None,,3,22,Other Banks/Depts,2,1,1,1,2,1,Non-Creditworthy
No Account,9,No Problems (in this bank),Used car,1919,None,1-4 yrs,4,None,,3,35,Other Banks/Depts,1,1,1,1,2,1,Creditworthy
No Account,9,Paid Up,Used car,2030,POUND_100-POUND_1000,1-4 yrs,2,None,,3,24,Other Banks/Depts,2,1,1,1,2,1,Creditworthy
Some Balance,9,No Problems (in this bank),Home Related,2134,None,< 1yr,4,None,,3,48,Other Banks/Depts,2,More than 1,1,1,2,1,Creditworthy
Some Balance,9,No Problems (in this bank),Used car,2406,None,< 1yr,2,None,,3,31,Other Banks/Depts,2,1,1,1,1,1,Creditworthy
Some Balance,9,Paid Up,Home Related,2697,None,< 1yr,1,None,2,1,32,Other Banks/Depts,2,1,1,2,1,1,Creditworthy
No Account,9,Paid Up,Home Related,3195,POUND_100-POUND_1000,< 1yr,1,None,2,1,33,Other Banks/Depts,2,1,1,1,1,1,Creditworthy
No Account,9,Some Problems,New car,5129,None,4-7 yrs,2,None,,4,74,Other Banks/Depts,3,1,1,2,2,1,Non-Creditworthy
Some Balance,10,Paid Up,Home Related,1225,None,< 1yr,2,None,,3,37,Other Banks/Depts,2,1,1,1,2,1,Creditworthy
Some Balance,10,Paid Up,Home Related,1240,< POUND_100,4-7 yrs,1,None,,4,48,Other Banks/Depts,3,1,1,2,1,1,Non-Creditworthy
Some Balance,10,Paid Up,Used car,1275,None,< 1yr,4,None,,2,23,Other Banks/Depts,2,1,1,1,1,1,Creditworthy
Some Balance,10,Paid Up,Home Related,1309,POUND_100-POUND_1000,< 1yr,4,Yes,,2,27,Other Banks/Depts,2,1,1,1,1,1,Non-Creditworthy
Some Balance,10,Paid Up,Home Related,1364,None,< 1yr,2,None,,3,64,Other Banks/Depts,2,1,1,1,2,1,Creditworthy
Some Balance,10,Paid Up,Home Related,1546,None,< 1yr,3,None,2,1,31,Other Banks/Depts,2,1,1,2,1,2,Creditworthy
No Account,10,No Problems (in this bank),Home Related,2241,None,< 1yr,1,None,3,1,48,Other Banks/Depts,1,More than 1,1,2,1,2,Creditworthy
No Account,10,Paid Up,Home Related,2315,None,4-7 yrs,3,None,4,1,52,Other Banks/Depts,2,1,1,1,1,1,Creditworthy
Some Balance,10,Paid Up,New car,2901,POUND_100-POUND_1000,< 1yr,1,None,4,1,31,Other Banks/Depts,1,1,1,1,1,1,Creditworthy
Some Balance,10,Paid Up,Home Related,3949,None,< 1yr,1,Yes,,2,37,Other Banks/Depts,2,1,1,2,1,1,Creditworthy
No Account,10,Paid Up,Home Related,7308,None,< 1yr,2,None,,4,70,Other Banks/Depts,3,1,1,1,2,1,Creditworthy
Some Balance,11,No Problems (in this bank),Home Related,1154,< POUND_100,< 1yr,4,None,4,1,57,Other Banks/Depts,2,More than 1,1,1,1,1,Creditworthy
No Account,11,No Problems (in this bank),Home Related,1322,POUND_100-POUND_1000,< 1yr,4,None,,3,40,Other Banks/Depts,2,More than 1,1,1,1,1,Creditworthy
No Account,11,Paid Up,Used car,1577,POUND_100-POUND_1000,< 1yr,4,None,1,1,20,Other Banks/Depts,2,1,1,1,1,1,Creditworthy
Some Balance,11,Paid Up,Home Related,2142,POUND_100-POUND_1000,4-7 yrs,1,None,2,1,28,Other Banks/Depts,2,1,1,1,2,1,Creditworthy
No Account,11,No Problems (in this bank),Home Related,3939,None,< 1yr,1,None,2,1,40,Other Banks/Depts,2,More than 1,1,2,1,1,Creditworthy
No Account,12,Some Problems,Home Related,339,None,4-7 yrs,4,None,,3,45,Other Banks/Depts,2,1,1,1,1,1,Creditworthy
No Account,12,No Problems (in this bank),Home Related,385,None,1-4 yrs,4,None,3,1,58,Other Banks/Depts,2,More than 1,1,1,2,1,Creditworthy
No Account,12,No Problems (in this bank),Home Related,585,None,< 1yr,4,Yes,4,1,20,Other Banks/Depts,1,More than 1,1,1,1,1,Creditworthy
No Account,12,Paid Up,Home Related,625,None,< 1yr,4,Yes,1,1,26,Other Banks/Depts,2,1,1,1,1,1,Creditworthy
No Account,12,Paid Up,Home Related,639,None,< 1yr,4,None,,3,30,Other Banks/Depts,2,1,1,1,1,1,Non-Creditworthy
No Account,12,Paid Up,Used car,652,None,4-7 yrs,4,None,,2,24,Other Banks/Depts,1,1,1,1,1,1,Creditworthy
No Account,12,Paid Up,Home Related,674,< POUND_100,1-4 yrs,4,None,,2,20,Other Banks/Depts,2,1,1,1,1,1,Non-Creditworthy
Some Balance,12,No Problems (in this bank),Home Related,682,< POUND_100,1-4 yrs,4,None,,3,51,Other Banks/Depts,2,More than 1,1,1,2,1,Creditworthy
No Account,12,Some Problems,Home Related,697,None,< 1yr,4,None,,3,46,Other Banks/Depts,2,More than 1,1,1,2,1,Non-Creditworthy
Some Balance,12,No Problems (in this bank),Home Related,701,None,< 1yr,4,None,,3,32,Other Banks/Depts,2,More than 1,1,1,1,1,Creditworthy
No Account,12,Paid Up,Home Related,701,None,< 1yr,4,None,2,1,40,Other Banks/Depts,2,1,1,1,1,1,Creditworthy
No Account,12,Paid Up,Used car,708,None,< 1yr,2,Yes,,2,38,Other Banks/Depts,2,1,1,2,1,1,Creditworthy
Some Balance,12,No Problems (in this bank),Home Related,717,None,4-7 yrs,4,None,4,1,52,Other Banks/Depts,2,More than 1,1,1,1,1,Creditworthy
Some Balance,12,Paid Up,Home Related,719,None,4-7 yrs,4,None,,3,41,Other Banks/Depts,2,1,1,2,1,1,Non-Creditworthy
No Account,12,Paid Up,Home Related,754,POUND_100-POUND_1000,4-7 yrs,4,None,,2,38,Other Banks/Depts,2,More than 1,1,1,1,1,Creditworthy
No Account,12,Paid Up,Home Related,759,None,1-4 yrs,4,None,2,1,26,Other Banks/Depts,2,1,1,1,1,1,Non-Creditworthy
Some Balance,12,Paid Up,Used car,763,None,< 1yr,4,None,1,1,26,Other Banks/Depts,2,1,1,1,2,1,Creditworthy
No Account,12,Paid Up,Home Related,766,POUND_100-POUND_1000,< 1yr,4,None,3,1,66,Other Banks/Depts,2,1,1,1,1,1,Non-Creditworthy
Some Balance,12,No Problems (in this bank),Other,797,POUND_100-POUND_1000,4-7 yrs,4,None,3,2,33,Other Banks/Depts,2,1,1,2,1,1,Non-Creditworthy
Some Balance,12,No Problems (in this bank),Home Related,797,POUND_100-POUND_1000,4-7 yrs,4,None,,2,33,Other Banks/Depts,2,1,1,2,1,1,Non-Creditworthy
No Account,12,Paid Up,Home Related,841,< POUND_100,1-4 yrs,2,None,4,1,23,Other Banks/Depts,1,1,1,1,1,1,Creditworthy
Some Balance,12,Paid Up,Home Related,886,POUND_100-POUND_1000,< 1yr,4,None,,3,21,Other Banks/Depts,2,1,1,1,1,1,Creditworthy
No Account,12,Paid Up,Home Related,888,None,4-7 yrs,4,None,,3,41,Other Banks/Depts,2,1,1,2,1,1,Non-Creditworthy
No Account,12,Paid Up,Home Related,900,POUND_100-POUND_1000,< 1yr,4,None,,3,23,Other Banks/Depts,2,1,1,1,1,1,Non-Creditworthy
No Account,12,Paid Up,Home Related,902,None,1-4 yrs,4,None,,2,21,Other Banks/Depts,1,1,1,1,1,1,Non-Creditworthy
Some Balance,12,No Problems (in this bank),Home Related,926,None,< 1yr,1,None,,2,38,Other Banks/Depts,2,1,1,1,1,1,Creditworthy
Some Balance,12,No Problems (in this bank),Other,930,POUND_100-POUND_1000,4-7 yrs,4,None,4,1,,Other Banks/Depts,2,More than 1,1,1,1,1,Creditworthy
Some Balance,12,No Problems (in this bank),Home Related,930,POUND_100-POUND_1000,4-7 yrs,4,None,4,1,65,Other Banks/Depts,2,More than 1,1,1,1,1,Creditworthy
No Account,12,No Problems (in this bank),Home Related,958,None,1-4 yrs,2,None,3,1,47,Other Banks/Depts,2,More than 1,1,2,1,1,Creditworthy
No Account,12,Paid Up,Used car,983,POUND_100-POUND_1000,< 1yr,1,None,4,1,19,Other Banks/Depts,1,1,1,1,1,1,Creditworthy
Some Balance,12,No Problems (in this bank),Home Related,996,POUND_100-POUND_1000,1-4 yrs,4,None,4,1,23,Other Banks/Depts,2,More than 1,1,1,1,1,Creditworthy
No Account,12,Paid Up,Home Related,1037,< POUND_100,1-4 yrs,3,None,4,1,39,Other Banks/Depts,2,1,1,1,1,1,Creditworthy
No Account,12,Paid Up,Home Related,1103,None,1-4 yrs,4,Yes,3,1,29,Other Banks/Depts,2,More than 1,1,1,1,1,Creditworthy
No Account,12,Paid Up,Home Related,1107,None,< 1yr,2,None,2,1,20,Other Banks/Depts,1,1,1,2,2,1,Creditworthy
No Account,12,Some Problems,Home Related,1108,None,1-4 yrs,4,None,3,1,28,Other Banks/Depts,2,More than 1,1,1,1,1,Non-Creditworthy
Some Balance,12,Paid Up,Used car,1123,POUND_100-POUND_1000,< 1yr,4,None,,3,29,Other Banks/Depts,1,1,1,1,1,1,Non-Creditworthy
No Account,12,Paid Up,Home Related,1158,POUND_100-POUND_1000,< 1yr,3,None,,3,26,Other Banks/Depts,2,1,1,1,2,1,Creditworthy
Some Balance,12,No Problems (in this bank),Home Related,1185,None,< 1yr,3,None,2,1,27,Other Banks/Depts,2,More than 1,1,1,1,1,Creditworthy
No Account,12,Paid Up,Home Related,1200,POUND_100-POUND_1000,< 1yr,4,None,,2,23,Other Banks/Depts,1,1,1,1,2,1,Creditworthy
No Account,12,Paid Up,Home Related,1223,None,4-7 yrs,1,None,1,1,46,Other Banks/Depts,1,More than 1,1,1,1,1,Non-Creditworthy
No Account,12,Paid Up,Home Related,1228,None,< 1yr,4,None,2,1,24,Other Banks/Depts,2,1,1,1,1,1,Non-Creditworthy
Some Balance,12,No Problems (in this bank),Home Related,1240,POUND_100-POUND_1000,4-7 yrs,4,None,2,1,38,Other Banks/Depts,2,More than 1,1,1,2,1,Creditworthy
Some Balance,12,No Problems (in this bank),Used car,1258,None,< 1yr,2,None,,2,22,Other Banks/Depts,1,More than 1,1,1,1,1,Creditworthy
Some Balance,12,Paid Up,Home Related,1262,None,< 1yr,3,None,,3,25,Other Banks/Depts,2,1,1,1,1,1,Creditworthy
No Account,12,Paid Up,Home Related,1274,None,< 1yr,3,None,1,1,37,Other Banks/Depts,2,1,1,1,1,1,Non-Creditworthy
No Account,12,Paid Up,Used car,1289,None,< 1yr,4,Yes,,2,21,Other Banks/Depts,2,1,1,1,1,1,Creditworthy
No Account,12,Paid Up,Home Related,1318,POUND_100-POUND_1000,4-7 yrs,4,None,4,1,54,Other Banks/Depts,2,1,1,1,2,1,Creditworthy
Some Balance,12,Paid Up,Home Related,1330,None,< 1yr,4,None,1,1,26,Other Banks/Depts,2,1,1,1,1,1,Creditworthy
No Account,12,Paid Up,Home Related,1331,None,< 1yr,2,None,,3,22,Other Banks/Depts,2,1,1,1,1,1,Non-Creditworthy
Some Balance,12,Paid Up,Home Related,1386,POUND_100-POUND_1000,< 1yr,2,None,,2,26,Other Banks/Depts,2,1,1,1,1,1,Non-Creditworthy
Some Balance,12,No Problems (in this bank),Other,1402,POUND_100-POUND_1000,1-4 yrs,3,None,4,3,,Other Banks/Depts,1,1,1,1,2,1,Creditworthy
Some Balance,12,No Problems (in this bank),Used car,1402,POUND_100-POUND_1000,1-4 yrs,3,None,,3,37,Other Banks/Depts,1,1,1,1,2,1,Creditworthy
No Account,12,No Problems (in this bank),New car,1409,None,4-7 yrs,4,None,3,1,54,Other Banks/Depts,2,1,1,1,1,1,Creditworthy
No Account,12,No Problems (in this bank),Home Related,1424,None,1-4 yrs,4,None,,2,26,Other Banks/Depts,2,1,1,1,1,1,Creditworthy
Some Balance,12,Paid Up,Used car,1424,POUND_100-POUND_1000,4-7 yrs,3,None,4,1,55,Other Banks/Depts,2,1,1,1,2,1,Creditworthy
Some Balance,12,Paid Up,Used car,1474,None,< 1yr,4,None,,2,33,Other Banks/Depts,2,1,1,1,2,1,Creditworthy
No Account,12,Paid Up,Home Related,1484,POUND_100-POUND_1000,< 1yr,2,None,1,1,25,Other Banks/Depts,2,1,1,1,2,1,Non-Creditworthy
Some Balance,12,Paid Up,Home Related,1493,None,< 1yr,4,None,,3,34,Other Banks/Depts,2,1,1,2,1,1,Creditworthy
Some Balance,12,No Problems (in this bank),New car,1503,None,< 1yr,4,None,4,1,41,Other Banks/Depts,1,1,1,1,1,1,Creditworthy
No Account,12,No Problems (in this bank),New car,1526,None,4-7 yrs,4,None,,4,66,Other Banks/Depts,3,More than 1,1,1,1,1,Creditworthy
Some Balance,12,No Problems (in this bank),Home Related,1555,POUND_100-POUND_1000,4-7 yrs,4,None,,4,55,Other Banks/Depts,3,More than 1,1,2,1,1,Non-Creditworthy
No Account,12,Paid Up,Used car,1620,None,< 1yr,2,Yes,,2,30,Other Banks/Depts,2,1,1,1,1,1,Creditworthy
Some Balance,12,Paid Up,Other,1736,None,1-4 yrs,3,None,4,1,,Other Banks/Depts,2,1,1,1,1,1,Creditworthy
Some Balance,12,Paid Up,Used car,1736,None,1-4 yrs,3,None,4,1,31,Other Banks/Depts,2,1,1,1,1,1,Creditworthy
No Account,12,Paid Up,Used car,1858,None,< 1yr,4,None,,3,22,Other Banks/Depts,1,1,1,1,1,1,Creditworthy
No Account,12,No Problems (in this bank),New car,1860,None,< 1yr,4,None,,3,34,Other Banks/Depts,2,More than 1,1,1,2,1,Creditworthy
Some Balance,12,Paid Up,Home Related,1884,None,4-7 yrs,4,None,,3,39,Other Banks/Depts,2,1,1,1,2,1,Creditworthy
No Account,12,Paid Up,Home Related,1893,None,< 1yr,4,Yes,,2,29,Other Banks/Depts,2,1,1,1,2,1,Creditworthy
No Account,12,No Problems (in this bank),Home Related,1995,< POUND_100,< 1yr,4,None,,3,27,Other Banks/Depts,2,1,1,1,1,1,Creditworthy
No Account,12,Paid Up,Home Related,2002,None,1-4 yrs,3,None,,2,30,Other Banks/Depts,1,1,1,2,2,1,Creditworthy
Some Balance,12,No Problems (in this bank),Home Related,2012,POUND_100-POUND_1000,1-4 yrs,4,None,,3,61,Other Banks/Depts,2,1,1,1,1,1,Creditworthy
No Account,12,No Problems (in this bank),Home Related,2121,None,< 1yr,4,None,,2,30,Other Banks/Depts,2,More than 1,1,1,1,1,Creditworthy
Some Balance,12,Paid Up,Home Related,2141,< POUND_100,1-4 yrs,3,None,,4,35,Other Banks/Depts,2,1,1,1,1,1,Creditworthy
Some Balance,12,Paid Up,Home Related,2171,None,< 1yr,2,None,,3,29,Other Banks/Depts,2,1,1,1,1,1,Creditworthy
No Account,12,No Problems (in this bank),Home Related,2171,None,< 1yr,4,None,,2,38,Other Banks/Depts,2,More than 1,1,1,1,2,Creditworthy
No Account,12,No Problems (in this bank),Used car,2246,None,4-7 yrs,3,None,,2,60,Other Banks/Depts,2,More than 1,1,1,1,1,Non-Creditworthy
Some Balance,12,No Problems (in this bank),Home Related,2247,None,< 1yr,2,None,,3,36,Other Banks/Depts,2,More than 1,1,1,2,1,Creditworthy
Some Balance,12,Paid Up,Home Related,2279,POUND_100-POUND_1000,< 1yr,4,None,,4,37,Other Banks/Depts,3,1,1,1,2,1,Creditworthy
