Account-Balance,Duration-of-Credit-Month,Payment-Status-of-Previous-Credit,Purpose,Credit-Amount,Value-Savings-Stocks,Length-of-current-employment,Instalment-per-cent,Guarantors,Duration-in-Current-address,Most-valuable-available-asset,Age-years,Concurrent-Credits,Type-of-apartment,No-of-Credits-at-this-Bank,Occupation,No-of-dependents,Telephone,Foreign-Worker,Credit-Application-Result
Some Balance,24,Paid Up,Used car,2892,None,4-7 yrs,3,None,,4,51,Other Banks/Depts,3,1,1,1,1,1,Creditworthy
No Account,24,Paid Up,Home Related,2896,< POUND_100,< 1yr,2,None,,3,29,Other Banks/Depts,2,1,1,1,1,1,Creditworthy
No Account,24,Paid Up,New car,2910,None,1-4 yrs,2,None,,4,34,Other Banks/Depts,3,1,1,1,2,1,Creditworthy
Some Balance,24,No Problems (in this bank),Home Related,2978,POUND_100-POUND_1000,< 1yr,4,None,4,1,32,Other Banks/Depts,2,More than 1,1,2,2,1,Creditworthy
No Account,24,Paid Up,Used car,3021,None,< 1yr,2,None,2,1,24,Other Banks/Depts,1,1,1,1,1,1,Creditworthy
No Account,24,Paid Up,Home Related,3092,< POUND_100,< 1yr,3,None,,3,22,Other Banks/Depts,1,1,1,1,2,1,Non-Creditworthy
Some Balance,24,Paid Up,Home Related,3105,POUND_100-POUND_1000,< 1yr,4,None,,3,25,Other Banks/Depts,2,More than 1,1,1,1,1,Creditworthy
No Account,24,Some Problems,Home Related,3161,None,< 1yr,4,None,,2,31,Other Banks/Depts,1,1,1,1,2,1,Non-Creditworthy
Some Balance,24,Paid Up,Home Related,3235,POUND_100-POUND_1000,4-7 yrs,3,None,,3,36,Other Banks/Depts,2,1,1,1,2,1,Creditworthy
No Account,24,Some Problems,Used car,3349,POUND_100-POUND_1000,< 1yr,4,None,,4,30,Other Banks/Depts,3,1,1,2,2,1,Non-Creditworthy
Some Balance,24,Paid Up,Home Related,3430,POUND_100-POUND_1000,4-7 yrs,3,None,,3,31,Other Banks/Depts,2,1,1,2,2,1,Creditworthy
No Account,24,Some Problems,Used car,3552,None,1-4 yrs,3,None,,3,27,Other Banks/Depts,2,1,1,1,1,1,Non-Creditworthy
Some Balance,24,No Problems (in this bank),Other,3617,POUND_100-POUND_1000,4-7 yrs,4,Yes,4,4,,Other Banks/Depts,1,More than 1,1,1,1,1,Creditworthy
Some Balance,24,No Problems (in this bank),Used car,3617,POUND_100-POUND_1000,4-7 yrs,4,Yes,,4,20,Other Banks/Depts,1,More than 1,1,1,1,1,Creditworthy
No Account,24,Some Problems,New car,3632,None,< 1yr,1,Yes,,3,22,Other Banks/Depts,1,1,1,1,1,2,Creditworthy
Some Balance,24,Paid Up,Used car,3749,None,< 1yr,2,None,,3,26,Other Banks/Depts,2,1,1,1,1,1,Creditworthy
Some Balance,24,Paid Up,Home Related,3757,None,4-7 yrs,4,Yes,,4,62,Other Banks/Depts,3,1,1,1,2,1,Creditworthy
Some Balance,24,No Problems (in this bank),New car,3868,None,4-7 yrs,4,None,,3,41,Other Banks/Depts,1,More than 1,1,1,2,1,Creditworthy
No Account,24,Paid Up,Used car,4020,None,< 1yr,2,None,,3,27,Other Banks/Depts,2,1,1,1,1,1,Creditworthy
Some Balance,24,No Problems (in this bank),New car,4042,POUND_100-POUND_1000,1-4 yrs,3,None,,2,43,Other Banks/Depts,2,More than 1,1,1,2,1,Creditworthy
No Account,24,Paid Up,New car,4113,POUND_100-POUND_1000,< 1yr,3,None,,3,28,Other Banks/Depts,1,1,1,1,1,1,Non-Creditworthy
Some Balance,24,No Problems (in this bank),Home Related,4139,< POUND_100,< 1yr,3,None,,2,27,Other Banks/Depts,2,More than 1,1,1,2,1,Creditworthy
Some Balance,24,No Problems (in this bank),Used car,4151,< POUND_100,< 1yr,2,None,,2,35,Other Banks/Depts,2,More than 1,1,1,1,1,Creditworthy
No Account,24,Some Problems,Home Related,4241,None,< 1yr,1,None,4,1,36,Other Banks/Depts,2,More than 1,1,1,2,1,Non-Creditworthy
No Account,24,Paid Up,Used car,4351,POUND_100-POUND_1000,< 1yr,1,None,,2,48,Other Banks/Depts,2,1,1,1,2,1,Creditworthy
Some Balance,24,No Problems (in this bank),Home Related,4526,None,< 1yr,3,None,2,1,74,Other Banks/Depts,2,1,1,1,2,1,Creditworthy
Some Balance,24,Paid Up,Home Related,4591,POUND_100-POUND_1000,< 1yr,2,None,,2,54,Other Banks/Depts,2,More than 1,1,1,2,1,Non-Creditworthy
No Account,24,No Problems (in this bank),Used car,4736,None,< 1yr,2,None,,3,25,Other Banks/Depts,2,1,1,1,1,1,Non-Creditworthy
No Account,24,Paid Up,Home Related,4817,None,1-4 yrs,2,Yes,,2,31,Other Banks/Depts,2,1,1,1,2,1,Non-Creditworthy
No Account,24,No Problems (in this bank),Home Related,4870,None,< 1yr,3,None,,4,53,Other Banks/Depts,3,More than 1,1,2,1,1,Non-Creditworthy
Some Balance,24,No Problems (in this bank),Other,5103,None,< 1yr,3,None,3,4,,Other Banks/Depts,3,More than 1,1,1,2,1,Creditworthy
Some Balance,24,No Problems (in this bank),Home Related,5103,None,< 1yr,3,None,,4,47,Other Banks/Depts,3,More than 1,1,1,2,1,Creditworthy
Some Balance,24,Paid Up,New car,5433,POUND_100-POUND_1000,< 1yr,2,None,,2,26,Other Banks/Depts,1,1,1,1,2,1,Creditworthy
Some Balance,24,No Problems (in this bank),Home Related,5507,None,4-7 yrs,3,None,,4,44,Other Banks/Depts,3,More than 1,1,1,1,1,Creditworthy
Some Balance,24,Paid Up,Used car,5511,< POUND_100,< 1yr,4,None,,3,25,Other Banks/Depts,2,1,1,1,1,1,Creditworthy
No Account,24,No Problems (in this bank),Home Related,5743,None,< 1yr,2,None,,4,24,Other Banks/Depts,3,More than 1,1,1,2,1,Creditworthy
Some Balance,24,No Problems (in this bank),New car,5804,POUND_100-POUND_1000,< 1yr,4,None,2,1,27,Other Banks/Depts,2,More than 1,1,1,1,1,Creditworthy
Some Balance,24,Paid Up,Home Related,5943,POUND_100-POUND_1000,< 1yr,1,None,,3,44,Other Banks/Depts,2,More than 1,1,1,2,1,Non-Creditworthy
No Account,24,No Problems (in this bank),Home Related,6403,None,< 1yr,1,None,,3,33,Other Banks/Depts,2,1,1,1,1,1,Creditworthy
No Account,24,No Problems (in this bank),New car,6419,None,4-7 yrs,2,None,,4,44,Other Banks/Depts,3,More than 1,1,2,2,1,Creditworthy
No Account,24,No Problems (in this bank),New car,6615,None,< 1yr,2,None,,4,75,Other Banks/Depts,3,More than 1,1,1,2,1,Creditworthy
No Account,24,No Problems (in this bank),Home Related,6967,< POUND_100,1-4 yrs,4,None,,3,36,Other Banks/Depts,1,1,1,1,2,1,Creditworthy
Some Balance,24,Paid Up,Home Related,7393,None,< 1yr,1,None,,2,43,Other Banks/Depts,2,1,1,2,1,1,Creditworthy
Some Balance,24,No Problems (in this bank),Home Related,8648,None,< 1yr,2,None,,3,27,Other Banks/Depts,2,More than 1,1,1,2,1,Non-Creditworthy
Some Balance,24,Paid Up,New car,9277,POUND_100-POUND_1000,< 1yr,2,None,,4,48,Other Banks/Depts,3,1,1,1,2,1,Creditworthy
No Account,24,No Problems (in this bank),Home Related,11938,None,< 1yr,2,Yes,,3,39,Other Banks/Depts,2,More than 1,1,2,2,1,Non-Creditworthy
No Account,24,Paid Up,New car,12579,None,4-7 yrs,4,None,,4,44,Other Banks/Depts,3,1,1,1,2,1,Non-Creditworthy
No Account,26,Paid Up,New car,7966,None,< 1yr,2,None,,3,30,Other Banks/Depts,2,More than 1,1,1,1,1,Creditworthy
No Account,27,No Problems (in this bank),Home Related,2520,POUND_100-POUND_1000,< 1yr,4,None,,2,23,Other Banks/Depts,2,More than 1,1,1,1,1,Non-Creditworthy
Some Balance,27,Paid Up,Home Related,2570,None,< 1yr,3,None,3,1,21,Other Banks/Depts,1,1,1,1,1,1,Non-Creditworthy
Some Balance,27,No Problems (in this bank),Home Related,5117,None,1-4 yrs,3,None,,3,26,Other Banks/Depts,2,More than 1,1,1,1,1,Creditworthy
No Account,27,No Problems (in this bank),New car,5965,None,4-7 yrs,1,None,,3,30,Other Banks/Depts,2,More than 1,1,1,2,1,Creditworthy
Some Balance,27,No Problems (in this bank),New car,8613,POUND_100-POUND_1000,< 1yr,2,None,,3,27,Other Banks/Depts,2,More than 1,1,1,1,1,Creditworthy
Some Balance,28,No Problems (in this bank),Home Related,2743,None,4-7 yrs,4,None,,3,29,Other Banks/Depts,2,More than 1,1,1,1,1,Creditworthy
No Account,28,Paid Up,Home Related,4006,None,< 1yr,3,None,,3,45,Other Banks/Depts,2,1,1,1,1,1,Non-Creditworthy
Some Balance,28,Some Problems,New car,7824,POUND_100-POUND_1000,< 1yr,3,Yes,4,1,40,Other Banks/Depts,1,More than 1,1,2,2,1,Creditworthy
Some Balance,30,Paid Up,Other,1867,POUND_100-POUND_1000,4-7 yrs,4,None,4,3,,Other Banks/Depts,2,1,1,1,2,1,Creditworthy
Some Balance,30,Paid Up,Home Related,1867,POUND_100-POUND_1000,4-7 yrs,4,None,,3,58,Other Banks/Depts,2,1,1,1,2,1,Creditworthy
Some Balance,30,No Problems (in this bank),Home Related,1908,None,4-7 yrs,4,None,4,1,66,Other Banks/Depts,2,1,1,1,2,1,Non-Creditworthy
No Account,30,No Problems (in this bank),Home Related,1919,< POUND_100,< 1yr,4,None,,4,30,Other Banks/Depts,2,More than 1,1,1,1,1,Non-Creditworthy
No Account,30,Paid Up,Home Related,2150,None,< 1yr,4,Yes,,4,24,Other Banks/Depts,2,1,1,1,1,1,Non-Creditworthy
No Account,30,No Problems (in this bank),Home Related,2181,POUND_100-POUND_1000,4-7 yrs,4,None,4,1,36,Other Banks/Depts,2,More than 1,1,1,1,1,Creditworthy
Some Balance,30,Paid Up,Home Related,2333,POUND_100-POUND_1000,4-7 yrs,4,None,,3,30,Other Banks/Depts,2,1,1,1,1,1,Creditworthy
No Account,30,Paid Up,Home Related,2522,None,4-7 yrs,1,Yes,,2,39,Other Banks/Depts,2,1,1,2,1,1,Creditworthy
No Account,30,Paid Up,Home Related,2991,POUND_100-POUND_1000,4-7 yrs,2,None,,3,25,Other Banks/Depts,2,1,1,1,1,1,Creditworthy
Some Balance,30,No Problems (in this bank),Home Related,3017,None,4-7 yrs,4,None,,2,47,Other Banks/Depts,2,1,1,1,1,1,Creditworthy
Some Balance,30,No Problems (in this bank),Home Related,3077,POUND_100-POUND_1000,4-7 yrs,3,None,,3,40,Other Banks/Depts,2,More than 1,1,2,2,1,Creditworthy
Some Balance,30,No Problems (in this bank),Home Related,3656,POUND_100-POUND_1000,4-7 yrs,4,None,,2,49,Other Banks/Depts,2,More than 1,1,1,1,1,Creditworthy
No Account,30,Some Problems,Home Related,4221,None,< 1yr,2,None,,3,28,Other Banks/Depts,2,More than 1,1,1,1,1,Creditworthy
No Account,30,No Problems (in this bank),Home Related,4249,None,< 1yr,4,None,,3,28,Other Banks/Depts,2,More than 1,1,1,1,1,Non-Creditworthy
Some Balance,30,No Problems (in this bank),Home Related,4272,< POUND_100,< 1yr,2,None,,2,26,Other Banks/Depts,2,More than 1,1,1,1,1,Creditworthy
No Account,30,Some Problems,Home Related,4280,< POUND_100,< 1yr,4,None,,3,26,Other Banks/Depts,1,More than 1,1,1,1,1,Non-Creditworthy
Some Balance,30,Paid Up,New car,4811,POUND_100-POUND_1000,1-4 yrs,2,None,,2,24,Other Banks/Depts,1,1,1,1,1,1,Creditworthy
No Account,30,No Problems (in this bank),New car,6187,< POUND_100,1-4 yrs,1,None,,3,24,Other Banks/Depts,1,More than 1,1,1,1,1,Creditworthy
Some Balance,33,No Problems (in this bank),Home Related,2764,None,< 1yr,2,None,,3,26,Other Banks/Depts,2,More than 1,1,1,2,1,Creditworthy
No Account,33,No Problems (in this bank),Used car,4281,POUND_100-POUND_1000,< 1yr,1,None,,3,23,Other Banks/Depts,2,More than 1,1,1,1,1,Non-Creditworthy
Some Balance,33,No Problems (in this bank),New car,7253,None,1-4 yrs,3,None,,3,35,Other Banks/Depts,2,More than 1,1,1,2,1,Creditworthy
Some Balance,36,Paid Up,Home Related,909,POUND_100-POUND_1000,4-7 yrs,4,None,,2,36,Other Banks/Depts,2,1,1,1,1,1,Creditworthy
No Account,36,Paid Up,Home Related,1842,None,< 1yr,4,None,,3,34,Other Banks/Depts,2,1,1,1,2,1,Non-Creditworthy
No Account,36,No Problems (in this bank),Home Related,2145,None,1-4 yrs,2,None,,3,24,Other Banks/Depts,2,More than 1,1,1,2,1,Non-Creditworthy
No Account,36,No Problems (in this bank),Home Related,2225,None,4-7 yrs,4,None,,4,57,Other Banks/Depts,3,More than 1,1,1,2,1,Non-Creditworthy
No Account,36,Paid Up,Home Related,2273,None,1-4 yrs,3,None,,3,32,Other Banks/Depts,2,More than 1,1,2,1,1,Creditworthy
Some Balance,36,Paid Up,Home Related,2299,POUND_100-POUND_1000,4-7 yrs,4,None,,3,39,Other Banks/Depts,2,1,1,1,1,1,Creditworthy
No Account,36,Paid Up,Home Related,2323,None,1-4 yrs,4,None,,3,24,Other Banks/Depts,1,1,1,1,1,1,Creditworthy
No Account,36,No Problems (in this bank),Used car,2348,None,< 1yr,3,None,,2,46,Other Banks/Depts,2,More than 1,1,1,2,1,Creditworthy
Some Balance,36,Paid Up,Home Related,2394,POUND_100-POUND_1000,< 1yr,4,None,,3,25,Other Banks/Depts,2,1,1,1,1,1,Creditworthy
Some Balance,36,Some Problems,Home Related,2613,None,< 1yr,4,None,,3,27,Other Banks/Depts,2,More than 1,1,1,1,1,Creditworthy
No Account,36,Paid Up,Home Related,2671,< POUND_100,< 1yr,4,Yes,,4,50,Other Banks/Depts,3,1,1,1,1,1,Non-Creditworthy
No Account,36,Some Problems,Used car,2746,None,4-7 yrs,4,None,,3,31,Other Banks/Depts,2,1,1,1,1,1,Non-Creditworthy
No Account,36,No Problems (in this bank),Home Related,2820,None,< 1yr,4,None,,3,27,Other Banks/Depts,2,More than 1,1,1,1,1,Non-Creditworthy
No Account,36,No Problems (in this bank),Home Related,2862,< POUND_100,4-7 yrs,4,None,,4,30,Other Banks/Depts,3,1,1,1,1,1,Creditworthy
Some Balance,36,Paid Up,Home Related,3079,POUND_100-POUND_1000,< 1yr,4,None,4,1,36,Other Banks/Depts,2,1,1,1,1,1,Creditworthy
Some Balance,36,No Problems (in this bank),Home Related,3535,None,1-4 yrs,4,None,,3,37,Other Banks/Depts,2,More than 1,1,1,2,1,Creditworthy
Some Balance,36,Paid Up,Home Related,3595,None,4-7 yrs,4,None,,3,28,Other Banks/Depts,2,1,1,1,1,1,Creditworthy
No Account,36,Paid Up,Used car,3620,None,< 1yr,1,Yes,,2,37,Other Banks/Depts,2,1,1,2,1,1,Creditworthy
No Account,36,Paid Up,Home Related,3711,POUND_100-POUND_1000,< 1yr,2,None,,3,27,Other Banks/Depts,2,1,1,1,1,1,Creditworthy
No Account,36,Some Problems,Home Related,3804,None,< 1yr,4,None,,3,42,Other Banks/Depts,2,1,1,1,2,1,Non-Creditworthy
Some Balance,36,Paid Up,Home Related,4210,None,< 1yr,4,None,,3,26,Other Banks/Depts,2,1,1,1,1,1,Non-Creditworthy
Some Balance,36,No Problems (in this bank),Home Related,4454,None,< 1yr,4,None,4,1,34,Other Banks/Depts,2,More than 1,1,1,1,1,Creditworthy
No Account,36,No Problems (in this bank),Home Related,4455,None,< 1yr,2,None,2,1,30,Other Banks/Depts,2,More than 1,1,1,2,1,Non-Creditworthy
Some Balance,36,Paid Up,Home Related,4473,None,4-7 yrs,4,None,,3,31,Other Banks/Depts,2,1,1,1,1,1,Creditworthy
No Account,36,Paid Up,Used car,5179,None,1-4 yrs,4,None,,2,29,Other Banks/Depts,2,1,1,1,1,1,Non-Creditworthy
Some Balance,36,Paid Up,Home Related,5848,None,< 1yr,4,None,,3,24,Other Banks/Depts,2,1,1,1,1,1,Creditworthy
No Account,36,No Problems (in this bank),Home Related,6887,None,< 1yr,4,None,,2,29,Other Banks/Depts,2,1,1,1,2,1,Non-Creditworthy
No Account,36,Paid Up,New car,6948,None,< 1yr,2,None,,3,35,Other Banks/Depts,1,1,1,1,2,1,Creditworthy
No Account,36,No Problems (in this bank),Home Related,7432,None,< 1yr,2,None,,2,54,Other Banks/Depts,1,1,1,1,1,1,Creditworthy
Some Balance,36,No Problems (in this bank),Home Related,7855,None,< 1yr,4,None,2,1,25,Other Banks/Depts,2,More than 1,1,1,2,1,Non-Creditworthy
Some Balance,36,No Problems (in this bank),Home Related,7980,POUND_100-POUND_1000,< 1yr,4,None,,3,27,Other Banks/Depts,1,More than 1,1,1,2,1,Non-Creditworthy
No Account,36,No Problems (in this bank),Home Related,8065,None,< 1yr,3,None,,4,25,Other Banks/Depts,2,More than 1,1,1,2,1,Non-Creditworthy
Some Balance,36,Paid Up,New car,8133,None,< 1yr,1,None,,2,30,Other Banks/Depts,2,1,1,1,1,1,Creditworthy
No Account,36,Paid Up,New car,8229,None,< 1yr,2,None,,2,26,Other Banks/Depts,2,1,1,2,1,1,Non-Creditworthy
No Account,36,Paid Up,Used car,9034,< POUND_100,< 1yr,4,Yes,,4,29,Other Banks/Depts,1,1,1,1,2,1,Non-Creditworthy
No Account,36,Paid Up,New car,9398,None,< 1yr,1,None,,3,28,Other Banks/Depts,1,1,1,1,2,1,Non-Creditworthy
Some Balance,36,No Problems (in this bank),Home Related,9566,None,< 1yr,2,None,,3,31,Other Banks/Depts,2,More than 1,1,1,1,1,Creditworthy
Some Balance,36,No Problems (in this bank),New car,10477,POUND_100-POUND_1000,4-7 yrs,2,None,,4,42,Other Banks/Depts,3,More than 1,1,1,1,1,Creditworthy
No Account,36,Paid Up,Home Related,12612,< POUND_100,< 1yr,1,None,,4,47,Other Banks/Depts,3,1,1,2,2,1,Non-Creditworthy
No Account,36,Paid Up,Other,14318,None,4-7 yrs,4,None,2,4,57,Other Banks/Depts,3,1,1,1,2,1,Non-Creditworthy
No Account,36,Paid Up,Home Related,14318,None,4-7 yrs,4,None,,4,57,Other Banks/Depts,3,1,1,1,2,1,Non-Creditworthy
Some Balance,39,Paid Up,New car,2569,POUND_100-POUND_1000,< 1yr,4,None,,3,24,Other Banks/Depts,2,1,1,1,1,1,Creditworthy
Some Balance,39,Paid Up,New car,8588,< POUND_100,4-7 yrs,4,None,,3,45,Other Banks/Depts,2,1,1,1,2,1,Creditworthy
No Account,39,No Problems (in this bank),Home Related,11760,< POUND_100,1-4 yrs,2,None,,4,32,Other Banks/Depts,1,1,1,1,2,1,Creditworthy
No Account,40,No Problems (in this bank),Home Related,5998,None,< 1yr,4,None,,4,27,Other Banks/Depts,2,1,1,1,2,1,Non-Creditworthy
No Account,42,Paid Up,Home Related,3965,None,< 1yr,4,None,,3,34,Other Banks/Depts,2,1,1,1,1,1,Non-Creditworthy
Some Balance,42,No Problems (in this bank),Used car,4041,POUND_100-POUND_1000,< 1yr,4,None,4,1,36,Other Banks/Depts,2,More than 1,1,1,2,1,Creditworthy
No Account,42,No Problems (in this bank),Home Related,5954,None,1-4 yrs,2,None,1,1,41,Other Banks/Depts,2,More than 1,1,1,1,1,Creditworthy
Some Balance,42,Paid Up,Home Related,7166,POUND_100-POUND_1000,1-4 yrs,2,None,,2,29,Other Banks/Depts,1,1,1,1,2,1,Creditworthy
No Account,42,Paid Up,Home Related,7174,POUND_100-POUND_1000,1-4 yrs,4,None,,3,30,Other Banks/Depts,2,1,1,1,2,1,Non-Creditworthy
No Account,45,Paid Up,Home Related,1845,None,< 1yr,4,None,,4,23,Other Banks/Depts,3,1,1,1,2,1,Non-Creditworthy
No Account,45,Paid Up,Home Related,3031,< POUND_100,< 1yr,4,Yes,,2,21,Other Banks/Depts,1,1,1,1,1,1,Non-Creditworthy
No Account,45,No Problems (in this bank),New car,4576,< POUND_100,< 1yr,3,None,,3,27,Other Banks/Depts,2,1,1,1,1,1,Creditworthy
No Account,45,Some Problems,Home Related,11816,None,4-7 yrs,2,None,,3,29,Other Banks/Depts,1,More than 1,1,1,1,1,Non-Creditworthy
No Account,47,Paid Up,Home Related,10722,None,< 1yr,1,None,1,1,35,Other Banks/Depts,2,1,1,1,2,1,Creditworthy
Some Balance,48,No Problems (in this bank),New car,2751,POUND_100-POUND_1000,4-7 yrs,4,None,,3,38,Other Banks/Depts,2,More than 1,1,2,2,1,Creditworthy
No Account,48,Paid Up,Home Related,3060,None,1-4 yrs,4,None,4,1,28,Other Banks/Depts,2,More than 1,1,1,1,1,Non-Creditworthy
No Account,48,Some Problems,Home Related,3566,< POUND_100,1-4 yrs,4,None,,3,30,Other Banks/Depts,2,1,1,1,1,1,Creditworthy
Some Balance,48,No Problems (in this bank),Home Related,3578,POUND_100-POUND_1000,4-7 yrs,4,None,1,1,47,Other Banks/Depts,2,1,1,1,2,1,Creditworthy
Some Balance,48,Some Problems,Home Related,3609,None,< 1yr,1,None,1,1,27,Other Banks/Depts,2,1,1,1,1,1,Creditworthy
No Account,48,Paid Up,Home Related,3931,None,1-4 yrs,4,None,,4,46,Other Banks/Depts,3,1,1,2,1,1,Non-Creditworthy
No Account,48,Paid Up,Home Related,4308,None,< 1yr,3,None,,2,24,Other Banks/Depts,1,1,1,1,1,1,Non-Creditworthy
No Account,48,Paid Up,New car,4788,None,1-4 yrs,4,None,,2,26,Other Banks/Depts,2,1,1,2,1,1,Creditworthy
Some Balance,48,Paid Up,Home Related,4844,None,< 1yr,3,None,,3,33,Other Banks/Depts,1,1,1,1,2,1,Non-Creditworthy
No Account,48,No Problems (in this bank),Used car,5096,None,< 1yr,2,None,,3,30,Other Banks/Depts,2,1,1,1,2,1,Non-Creditworthy
No Account,48,Paid Up,Home Related,5951,None,< 1yr,2,None,2,1,22,Other Banks/Depts,2,1,1,1,1,1,Non-Creditworthy
Some Balance,48,No Problems (in this bank),Home Related,6110,None,< 1yr,1,None,,4,31,Other Banks/Depts,3,1,1,1,2,1,Creditworthy
No Account,48,No Problems (in this bank),New car,6143,None,4-7 yrs,4,None,,4,58,Other Banks/Depts,3,More than 1,1,1,1,1,Non-Creditworthy
No Account,48,No Problems (in this bank),Home Related,6224,None,4-7 yrs,4,None,,4,50,Other Banks/Depts,3,1,1,1,1,1,Non-Creditworthy
No Account,48,No Problems (in this bank),Home Related,6681,POUND_100-POUND_1000,< 1yr,4,None,,4,38,Other Banks/Depts,3,1,1,2,2,1,Creditworthy
No Account,48,Paid Up,Home Related,6758,None,< 1yr,3,None,,3,31,Other Banks/Depts,2,1,1,1,2,1,Non-Creditworthy
No Account,48,Some Problems,Used car,7119,None,< 1yr,3,None,,4,53,Other Banks/Depts,3,More than 1,1,2,1,1,Non-Creditworthy
Some Balance,48,No Problems (in this bank),Home Related,7238,POUND_100-POUND_1000,4-7 yrs,3,None,,3,32,Other Banks/Depts,2,More than 1,1,2,1,1,Creditworthy
No Account,48,Paid Up,Home Related,7476,None,1-4 yrs,4,None,,4,50,Other Banks/Depts,3,1,1,1,2,1,Creditworthy
No Account,48,No Problems (in this bank),Home Related,7582,< POUND_100,< 1yr,2,None,,4,31,Other Banks/Depts,2,1,1,1,2,1,Creditworthy
No Account,48,Some Problems,Home Related,7685,None,1-4 yrs,2,Yes,,3,37,Other Banks/Depts,1,1,1,1,1,1,Non-Creditworthy
Some Balance,48,No Problems (in this bank),New car,8858,POUND_100-POUND_1000,1-4 yrs,2,None,,4,35,Other Banks/Depts,3,More than 1,1,1,2,1,Creditworthy
No Account,48,Paid Up,Used car,9960,None,< 1yr,1,None,,3,26,Other Banks/Depts,2,1,1,1,2,1,Non-Creditworthy
No Account,48,Some Problems,Home Related,12169,POUND_100-POUND_1000,< 1yr,4,Yes,,4,36,Other Banks/Depts,3,1,1,1,2,1,Creditworthy
No Account,48,Some Problems,Home Related,12204,POUND_100-POUND_1000,< 1yr,2,None,,3,48,Other Banks/Depts,2,1,1,1,2,1,Creditworthy
No Account,48,Paid Up,Home Related,15672,None,< 1yr,2,None,,3,23,Other Banks/Depts,2,1,1,1,2,1,Non-Creditworthy
No Account,48,Some Problems,Home Related,18424,None,< 1yr,1,None,,2,32,Other Banks/Depts,2,1,1,1,2,2,Non-Creditworthy
No Account,60,Paid Up,Home Related,6288,None,< 1yr,4,None,,4,42,Other Banks/Depts,3,1,1,1,1,1,Non-Creditworthy
Some Balance,60,Paid Up,Home Related,6527,POUND_100-POUND_1000,< 1yr,4,None,,4,34,Other Banks/Depts,3,1,1,2,2,1,Creditworthy
No Account,60,No Problems (in this bank),Home Related,6836,None,4-7 yrs,3,None,,4,63,Other Banks/Depts,2,More than 1,1,1,2,1,Non-Creditworthy
No Account,60,No Problems (in this bank),Other,7418,POUND_100-POUND_1000,< 1yr,1,None,1,1,,Other Banks/Depts,2,1,1,1,1,1,Creditworthy
No Account,60,No Problems (in this bank),Home Related,7418,POUND_100-POUND_1000,< 1yr,1,None,1,1,27,Other Banks/Depts,2,1,1,1,1,1,Creditworthy
No Account,60,No Problems (in this bank),Home Related,9157,POUND_100-POUND_1000,< 1yr,2,None,,4,27,Other Banks/Depts,3,1,1,1,1,1,Creditworthy
Some Balance,60,No Problems (in this bank),Home Related,13756,POUND_100-POUND_1000,4-7 yrs,2,None,,4,63,Other Banks/Depts,3,1,1,1,2,1,Creditworthy
No Account,60,Paid Up,Home Related,14027,None,1-4 yrs,4,None,,4,27,Other Banks/Depts,2,1,1,1,2,1,Non-Creditworthy